gene,11-00466,11-00473,11-00476,11-00478,11-00499,11-00503,12-00016,12-00032,12-00035,12-00069,12-00071,12-00085,12-00109,12-00111,12-00116,12-00123,12-00125,12-00127,12-00145,12-00154
ESCO2,2,115,0,85,322,108,18,95,202,357,185,205,24,439,43,533,23,22,252,111
ESD,126,4135,35,3294,1389,3677,3055,2420,2599,7308,3203,3230,4132,3139,4226,4523,323,3556,3401,4920
ESF1,72,818,45,649,273,525,469,312,533,613,728,351,617,268,386,1039,7,505,544,239
ESM1,0,0,0,0,0,0,1,0,3,2,0,1,0,0,0,1,11,2,4,0
ESPL1,59,598,17,498,1507,145,64,470,980,552,751,572,60,531,99,1426,5986,152,611,299
ESPN,9,7,0,136,17,7,5,1,76,13,38,117,51,0,476,18,5,0,3,11
ESPNL,2,3,0,1,9,8,2,0,1,2,4,3,2,3,7,3,220,2,1,60
ESPNP,0,10,0,0,6,1,0,0,1,18,1,38,25,0,0,0,0,0,0,1
ESR1,5,7,0,61,34,1,35,15,4,105,23,25,6,4,127,65,2,22,71,0
ESR2,1,25,1,39,61,46,18,21,9,32,15,28,16,5,25,20,35,13,7,14
ESRG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
ESRP1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
ESRP2,4,9,2,7,3,13,35,34,27,8,17,2,12,8,15,2,23,6,13,7
ESRRA,198,1000,106,2051,844,1581,1924,1620,1680,1992,1217,1101,1156,1600,769,1855,4575,1013,1337,841
ESRRB,1,2,1,1,1,0,0,0,0,1,0,2,3,2,16,7,4,0,3,6
ESRRG,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0
ESX1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESYT1,273,6285,105,4014,5547,9434,9508,5327,6406,11252,4742,10397,12916,4330,11626,10343,11965,8153,8588,10338
ESYT2,286,11611,196,6183,7625,15436,17944,6310,7646,18499,13214,3702,16258,7198,4892,16231,12808,13932,13454,17077
ESYT3,1,1,0,9,4,63,3,1,1,4,8,5,17,3,44,6,7,0,0,42
ETAA1,88,1359,36,800,334,780,458,347,454,619,468,370,636,356,796,662,232,359,561,359
ETF1,248,3182,114,3221,4237,4305,3810,4229,3980,5675,3985,3094,4500,3143,1992,5492,925,2227,3930,3953
ETFA,115,2369,51,2168,2206,2715,1999,1624,2312,4656,2529,2493,2475,1763,2023,4320,799,2219,2823,3578
ETFB,184,2379,332,1761,1490,1475,1607,1073,1471,2578,821,913,1877,1412,1512,1749,5746,1785,1505,2984
ETFDH,76,501,24,742,690,916,695,749,956,913,780,483,659,1029,500,1374,475,550,719,674
ETHE1,42,870,22,943,1099,1213,1076,1511,1121,2552,891,1089,1828,1514,1731,1393,5223,1646,1523,2123
ETNK1,166,3689,78,3119,1061,3426,2972,1533,2577,2577,2524,2241,2263,1772,3690,3560,484,2092,2246,1482
ETNK2,0,5,0,25,9,27,35,1,11,36,0,77,53,7,558,4,100,0,7,38
ETS1,38,612,23,2891,4026,3429,7253,2563,3524,2687,433,4604,7469,1269,8012,1093,2512,919,1195,2293
ETS2,754,9594,204,5621,6994,10068,6207,3128,3524,10101,1199,3315,29595,2165,10485,10940,4746,7665,7175,10236
ETV1,0,0,0,0,4,2,0,2,1,3,0,18,4,1,16,0,15,0,0,1
ETV2,0,3,0,2,4,15,10,12,19,10,2,14,1,8,55,17,56,0,0,11
ETV3,3,110,3,132,216,346,398,363,364,308,204,182,473,376,438,392,643,270,226,191
ETV3L,0,0,0,0,1,3,2,0,0,0,0,0,1,1,0,0,1,0,0,0
ETV4,0,4,0,4,36,12,10,7,63,12,20,151,8,10,7,6,13,7,3,31
ETV5,10,19,2,33,45,36,177,24,215,51,486,360,286,77,220,70,56,441,66,210
ETV6,485,17890,244,15451,3686,7114,9317,4725,4939,8022,4274,3140,6397,2554,6780,6098,5093,4668,3708,5271
ETV7,7,73,0,39,277,78,59,30,118,1,1,105,20,15,45,19,52,0,5,2
EVA1A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
EVA1B,204,2920,70,2193,586,1080,1140,315,1111,1974,1225,383,1814,940,3004,1026,8882,1788,1323,1941
EVA1C,17,257,8,90,138,47,154,46,28,59,6,134,13,132,478,18,18,3,5,146
EVC,2,247,1,508,52,1,12,1,0,3,2,82,18,524,21,5,17,1,1,20
EVC2,1,251,1,305,20,1,6,1,5,0,0,19,7,407,10,1,8,2,0,14
EVI2A,68,2187,14,3312,2224,4694,2567,6243,7488,4608,2994,1801,3110,6352,297,5712,139,5760,1539,1412
EVI2B,156,5210,39,9969,13415,14769,7945,24282,14928,11806,10025,7440,10210,34461,3776,11456,692,6189,3467,3035
EVI5,11,100,6,705,398,989,793,1242,903,485,402,361,487,792,409,822,92,251,283,117
EVI5L,48,294,40,548,577,720,734,427,677,942,318,597,739,362,1377,625,2103,390,547,651
EVL,298,1607,273,3199,2357,1337,2554,1138,956,4122,346,3105,2237,2211,3870,1035,2201,1120,1796,2513
EVPL,52,1902,91,690,44,454,1776,94,11,1305,26,1081,749,39,14,23,717,17,10,1782
EVPLL,0,1,0,2,7,0,0,0,0,1,0,0,0,1,1,3,2,2,1,5
EVX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EWSR1,2374,12604,1206,11779,8501,10014,11343,7979,9474,13365,9848,6841,10504,7731,8229,14153,18075,7211,8279,12300
EXD1,0,1,0,3,6,4,0,15,1,3,0,7,1,8,4,1,3,1,0,0
EXD2,28,689,15,656,345,1157,525,180,559,879,606,716,1143,529,2108,1001,711,668,986,881
EXD3,144,828,219,1175,379,457,468,179,230,789,104,245,934,369,1544,264,1124,756,410,750
EXO1,25,270,9,138,654,183,52,150,270,816,396,223,44,315,116,935,132,27,434,268
EXO5,76,639,30,594,270,368,300,174,228,578,307,310,227,274,251,488,243,109,312,269
EXOC1,336,3616,192,3561,1280,3278,1905,1654,2274,2517,1798,1361,2629,2480,2263,2476,531,2060,1984,1648
EXOC2,15,1122,13,1074,540,1706,1336,755,1178,1667,643,905,1885,1236,1315,1484,687,975,1481,1159
EXOC3,286,2642,350,3000,1894,2899,2979,2876,2394,3192,2225,1658,2770,2631,3128,3010,6267,1725,2032,2265
EXOC3L1,2,2,1,25,42,66,30,24,54,30,4,44,39,5,31,14,86,11,2,10
EXOC3L2,4,2,0,3,126,23,16,3,10,76,0,232,65,9,66,1,100,12,19,17
EXOC3L4,11,0,7,2,53,14,0,1,5,23,0,116,32,4,16,2,95,2,11,14
EXOC4,109,1868,52,1389,1871,4283,2316,1757,2751,4388,2390,1255,3755,2318,1892,3247,1769,2574,3090,2735
EXOC5,26,1627,19,1575,1729,3082,2577,1716,2135,3167,2184,2096,2659,2439,2733,3019,511,2080,2529,1835
EXOC6,66,1810,30,1286,1551,1666,831,1019,1245,1982,1126,1124,1326,1322,575,2305,279,1184,1633,1473
EXOC6B,3,8,0,63,64,226,239,117,188,110,58,248,215,170,566,100,15,2,49,73
EXOC7,604,2623,402,3771,3873,5222,5160,3759,4529,7396,3514,3735,5934,4272,6880,4089,14189,3214,3761,4958
EXOC8,50,988,23,1402,846,1459,1266,670,1814,936,1096,644,784,1065,1077,1599,887,1243,567,886
EXOG,77,266,43,421,332,567,410,267,357,476,501,422,510,361,660,569,192,252,391,407
EXOSC1,54,789,51,1077,594,830,744,682,784,1204,619,543,909,610,309,1049,1079,523,716,844
EXOSC10,1137,4698,704,3937,1829,3255,2717,1858,2524,3527,2491,2148,2800,2042,2378,4044,2809,2399,2828,3543
EXOSC2,323,1664,157,1067,807,843,800,524,1033,1827,1538,757,990,406,1062,1931,715,710,1179,1254
EXOSC3,34,889,17,871,480,738,405,443,696,1079,649,605,546,621,566,1248,948,675,672,394
EXOSC4,45,650,38,540,529,366,352,245,481,834,454,369,695,387,567,599,1767,412,488,613
EXOSC5,31,1169,18,601,481,516,797,297,578,1922,963,599,1007,145,620,1355,2166,1008,975,1373
EXOSC6,171,1469,43,1093,508,944,1424,496,1072,1276,990,659,1270,437,1197,1336,1651,1082,931,1170
EXOSC7,153,1065,145,1043,499,627,488,371,578,1228,782,542,861,373,745,1021,756,552,715,1046
EXOSC8,267,2057,157,1682,413,740,671,528,562,1475,756,675,766,518,643,1235,94,511,787,891
EXOSC9,52,1207,13,892,1005,961,769,688,797,1687,951,592,810,784,602,1297,236,401,871,970
EXPH5,1,10,1,36,21,11,77,26,12,9,7,42,6,16,71,10,17,1,2,5
EXT1,6,27,2,387,383,299,27,285,294,322,85,455,198,981,152,242,234,18,33,69
EXT2,152,2379,67,1729,1639,3348,1881,1801,3462,3761,2469,1999,3305,2203,3665,3572,1737,2628,3358,2996
EXTL1,1,5,0,3,1,1,4,0,0,3,0,5,0,0,23,0,5,1,0,0
EXTL2,96,460,34,580,275,1410,302,174,534,850,1052,428,1470,124,1399,1148,62,678,1162,998
EXTL3,29,627,16,1145,1035,2079,2312,1970,1929,1239,747,1133,1673,4325,2877,1461,1841,454,722,1002
EYA1,0,1,0,6,0,5,1,0,0,1,0,0,9,5,49,1,2,0,1,0
EYA2,0,1,0,1,0,0,1,0,4,1,3,0,0,0,0,1,0,1,1,0
EYA3,118,1327,74,1028,715,1183,884,787,1335,1524,858,935,1216,661,2074,2567,461,1485,919,604
EYA4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EYS,0,32,1,37,31,68,42,36,37,49,21,32,30,64,59,75,1,64,21,16
EZH1,226,6121,137,3870,1576,2287,2630,1789,2289,2575,1465,1637,1614,2582,2210,2479,1635,2034,1420,1295
EZH2,354,4157,230,2203,1817,894,788,966,1503,2161,1630,739,601,979,541,1775,1027,847,1420,1289
EZR,213,1042,139,5464,4996,2142,5885,4226,3552,5986,2053,5196,4817,4352,5953,5556,5878,1255,1440,4512
F10,1,1,1,5,0,2,6,0,3,5,2,6,0,1,2,0,9,0,0,2
F11,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0
F11R,172,6211,106,4230,4275,8652,5371,4269,4663,7561,4634,3450,6746,6312,5842,5031,4594,6548,7066,4102
F12,237,200,129,131,448,208,221,231,129,350,317,126,361,322,164,208,1375,599,240,555
F13A1,57,6393,25,8454,3789,8137,2792,4252,7409,4244,95,775,2221,702,953,15073,181,500,351,1974
F13B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
F2,0,0,2,3,7,1,1,3,3,2,3,0,2,0,2,0,12,1,3,2
F2R,12,483,14,504,1630,1157,3557,277,197,1359,1062,1845,893,292,5654,221,4037,298,1001,628
F2RL1,6,336,3,859,325,328,1303,167,62,927,14,235,121,24,2810,344,93,24,383,234
F2RL2,3,9,3,5,35,5,6,13,3,25,2,9,4,11,10,3,1,3,0,2
F2RL3,0,0,0,1,189,45,5,4,7,125,0,189,113,15,32,4,11,11,14,58
F3,3,50,0,64,34,37,22,31,500,48,46,33,206,19,7,162,53,144,126,54
F5,0,10,1,1001,5221,367,1434,5388,2689,821,217,1052,486,18380,260,464,244,27,53,110
F7,0,6,0,20,0,0,32,0,1,0,15,13,3,1,0,1,23,0,0,1
F8,1,78,1,62,425,247,174,283,316,326,120,194,137,293,74,199,99,41,103,272
F8A1,41,481,7,294,430,331,303,305,243,360,77,331,394,319,438,286,117,250,254,298
F8A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F8A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA2H,0,0,0,16,1,1,5,0,7,2,1,14,1,1,11,2,5,1,0,2
FAAH,363,1043,506,2407,481,448,1909,1007,496,2837,413,147,226,1068,946,483,275,315,434,847
FAAH2,12,15,1,37,9,25,9,2,10,16,9,36,35,5,78,2,5,35,6,9
FABP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABP12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABP2,0,2,0,1,0,5,1,1,0,0,0,0,0,6,1,4,0,1,0,1
FABP3,1,15,0,24,15,43,23,9,16,44,16,13,29,13,35,24,14,17,16,21
FABP4,0,0,0,1,0,0,0,0,15,4,1,1,3,0,0,0,0,0,3,0
FABP5,20,1334,11,739,834,443,329,315,609,1440,1409,699,628,642,742,1615,316,446,634,1348
FABP5P3,0,10,0,4,2,4,3,3,2,0,6,0,8,1,0,4,3,1,1,2
FABP6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
FABP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABP9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FADD,25,769,7,899,302,834,674,284,587,1252,486,586,472,898,1096,1041,2296,758,742,435
FADS1,51,1924,22,2099,3125,2902,2199,1617,1345,4437,581,2796,3593,1531,4712,4727,2033,953,2511,3738
FADS2,204,2629,59,2267,4099,4232,1676,2106,1103,7031,493,4403,6413,1128,8008,4074,9105,2707,4677,9455
FADS3,273,991,107,469,227,507,299,165,386,766,33,676,1394,371,714,430,729,1374,196,1307
FADS6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
FAF1,78,1300,91,1059,1590,1715,1315,1016,1502,2981,1646,1571,2410,1094,1394,2018,1420,941,2017,2625
FAF2,84,1266,35,1622,985,2132,1655,1120,2012,2129,1619,1340,1968,1423,1827,2179,852,1483,2006,935
FAH,476,1995,416,1318,1063,1968,861,697,1628,3625,2195,884,1012,377,1102,2430,2912,1022,2182,3038
FAHD1,111,601,20,561,278,498,406,271,494,752,543,353,797,262,534,628,694,643,470,591
FAHD2A,65,727,61,661,426,469,391,201,448,1012,497,373,669,246,853,545,1152,413,460,669
FAHD2B,91,325,50,210,141,404,213,37,200,427,294,215,425,36,456,505,542,89,221,733
FAHD2CP,27,164,17,73,27,48,32,15,38,62,53,17,70,6,87,57,54,19,21,89
FAIM,14,234,10,170,144,590,234,76,104,427,172,279,465,156,669,338,186,77,248,792
FAIM2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
FAIM3,19,562,23,622,201,553,1752,395,427,346,89,2061,1471,203,420,222,386,252,205,371
FAM101A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM101B,165,5056,107,9004,19141,10064,13005,20476,10802,13340,8120,7937,11582,12436,10057,12199,69082,4665,8791,6172
FAM102A,34,502,22,1208,334,590,739,325,558,921,341,469,859,292,1329,592,1079,497,400,399
FAM102B,14,942,2,1423,1178,1984,1903,2355,1430,2023,742,1304,2284,1300,3614,1605,498,1457,777,771
FAM103A1,5,78,1,120,53,120,125,54,95,152,63,85,143,124,154,96,183,85,86,84
FAM104A,180,2024,63,1705,960,1653,1405,821,1330,1665,806,900,1467,1125,2644,1543,1208,1191,1235,950
FAM104B,15,310,2,261,213,290,168,161,258,489,267,142,348,166,346,310,55,159,248,298
FAM105A,3,19,15,2895,2728,367,1390,4761,230,3526,88,2013,405,3179,296,407,2184,177,531,85
FAM105B,49,1266,55,1453,1759,1711,1675,2001,1475,1736,1100,1291,1141,1461,1379,2047,932,1005,1043,719
FAM106A,0,8,8,1,4,1,134,98,79,25,57,1,50,4,63,0,1,2,2,0
FAM106CP,0,0,0,1,36,1,28,56,0,12,1,0,1,2,0,0,0,0,25,0
FAM107A,0,1,0,2,0,0,2,2,2,0,0,1,0,1,0,0,1,0,0,0
FAM107B,40,215,37,3648,10590,7138,6072,12886,5895,6797,5619,4324,3819,12690,3653,7553,5145,1063,2051,7297
FAM108A1,179,1841,98,2086,1911,1855,2638,1843,1682,2714,1083,1743,2259,1736,3153,1909,8764,1366,1433,1841
FAM108B1,35,1555,27,1266,442,1626,2821,447,1818,3858,1217,1399,2330,1070,2307,1803,1263,1386,1624,1050
FAM108C1,15,863,18,627,155,128,379,91,422,340,265,381,84,254,421,450,128,169,287,177
FAM109A,27,239,19,528,219,801,727,351,361,557,157,589,678,268,648,537,1731,734,563,479
FAM109B,63,582,18,617,280,454,386,191,297,257,281,396,221,498,544,501,1055,2,3,591
FAM110A,99,878,56,1282,783,693,1055,552,662,1681,195,1292,559,1497,995,422,2096,377,378,283
FAM110B,2,2,0,141,155,266,0,107,604,57,165,85,259,278,295,43,101,4,7,4
FAM110C,0,0,0,2,1,0,0,5,5,3,0,1,5,0,1,0,5,0,1,2
FAM110D,0,2,1,19,5,0,3,1,0,1,3,13,0,0,6,1,0,1,2,1
FAM111A,755,7167,774,6785,3270,4951,3644,3989,4395,4815,2620,2349,3580,5026,2672,5495,881,2010,2967,1915
FAM111B,1,325,5,118,64,73,63,23,17,555,21,114,22,26,49,62,4,4,22,46
FAM114A1,8,57,5,206,158,103,114,125,233,92,36,61,23,230,16,192,22,30,41,48
FAM114A2,32,772,23,668,606,1228,596,634,882,1251,748,633,1248,754,409,1339,118,653,910,737
FAM115A,9,442,5,284,214,770,440,226,426,1018,252,322,704,342,296,546,509,660,587,398
FAM115C,0,103,0,108,108,93,146,70,121,86,14,86,137,126,195,45,11,39,7,44
FAM117A,118,3496,65,5418,2535,7409,4875,1479,2112,6676,1251,4187,9411,449,26298,3547,8314,5400,2488,3896
FAM117B,21,424,25,731,229,694,888,606,571,716,485,323,556,367,1242,1171,269,572,648,234
FAM118A,78,8095,53,1795,453,3563,732,824,1702,1013,632,1255,572,881,1203,2593,878,238,378,2778
FAM118B,25,229,12,538,305,907,529,454,723,928,313,454,784,965,342,1008,145,499,749,801
FAM120A,586,5869,518,7670,7473,10683,10715,9636,9645,10611,6747,6005,7100,7155,6141,11145,9503,4176,7896,6892
FAM120AOS,33,632,10,871,1105,1286,1250,1177,1042,1940,726,883,1118,956,1644,1303,690,827,973,1185
FAM120B,41,739,33,785,916,1700,1608,1104,1479,1688,1196,1070,1351,1396,2044,1754,1364,1087,1076,670
FAM120C,101,344,92,320,172,353,214,183,413,503,259,180,303,137,740,408,541,273,389,302
FAM122A,87,845,14,1020,314,1023,743,356,634,925,636,608,815,671,1760,1051,891,1031,601,669
FAM122B,423,4817,121,3347,2252,2085,2397,2373,2470,1765,2205,1323,2213,1613,1836,2296,942,1579,1701,1435
FAM122C,42,303,9,217,314,302,341,243,282,357,189,205,391,122,533,274,209,207,263,353
FAM124A,14,40,4,47,29,131,123,139,93,33,1,42,22,107,29,435,4,12,210,106
FAM124B,22,249,9,253,220,340,250,88,331,827,217,290,320,127,2205,558,207,179,395,528
FAM126A,21,983,9,924,559,1521,1016,956,908,1150,727,451,1117,1347,720,1312,148,712,872,410
FAM126B,66,975,35,1246,2440,1660,1703,2104,1761,1378,965,1417,1197,1076,1109,1976,372,961,973,737
FAM127A,185,709,9,1108,605,774,205,688,763,912,339,119,1007,824,2300,552,2674,7,20,1050
FAM127B,211,1105,10,993,325,502,128,254,382,602,322,124,563,439,1351,414,1236,4,6,711
FAM127C,1,144,0,195,42,68,3,21,68,17,9,1,35,67,761,15,334,0,0,134
FAM129A,51,2974,37,3709,16683,4699,7367,3946,6113,5709,3008,3113,4420,7211,2736,4719,1803,3389,3962,2005
FAM129B,71,145,33,4082,669,2589,4283,1967,1335,2183,84,2198,1375,3206,865,1862,1182,360,586,2127
FAM129C,39,56,73,210,184,262,278,168,118,215,73,67,654,57,107,137,189,106,100,43
FAM131A,25,324,6,530,379,694,496,374,521,570,241,254,507,291,412,450,985,439,423,411
FAM131B,11,5,3,161,35,60,206,113,81,67,8,51,35,172,38,53,78,37,50,41
FAM131C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FAM132A,3,107,16,81,21,18,19,9,39,9,28,16,28,29,26,11,61,20,19,19
FAM133A,0,1,0,0,0,1,0,0,0,0,0,2,1,0,47,0,0,0,0,0
FAM133B,6,30,9,30,26,27,30,13,15,24,17,5,11,12,10,34,1,27,17,18
FAM133CP,0,1,1,2,2,1,1,0,2,1,1,1,0,2,1,2,0,4,0,5
FAM133DP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM134A,135,4097,127,5871,3793,4630,5168,4436,4138,5571,4066,3111,5536,5322,10077,4554,12907,4733,4103,3970
FAM134B,0,867,2,220,276,72,585,69,24,86,13,296,90,1088,536,28,296,7,51,15
FAM134C,194,2367,211,2548,1024,2158,2129,1417,2263,2502,1148,1432,1612,2039,2255,2015,1955,1490,1745,1041
FAM135A,28,855,31,866,383,623,959,397,298,929,746,324,793,725,1061,865,28,535,323,318
FAM135B,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
FAM136A,313,3076,150,2350,1215,1804,1309,992,1387,2891,2035,1555,2273,908,1821,2718,1102,2019,2097,2484
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138B,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FAM138C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM13A,23,549,13,908,416,622,372,844,420,535,105,372,760,317,856,648,188,616,279,295
FAM13A.AS1,42,719,13,888,527,265,384,611,279,149,145,147,228,357,234,166,35,145,108,102
FAM13B,71,1423,36,1177,1710,4033,2954,1833,2275,3376,2755,1767,3807,1410,1977,3520,587,2282,2287,2484
FAM13C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FAM149A,0,0,0,1,0,0,7,1,2,0,1,0,1,0,10,1,5,0,0,0
FAM149B1,31,978,14,683,789,1315,786,521,943,1246,584,491,1238,878,1337,990,271,920,746,843
FAM150A,0,0,0,0,0,0,1,0,1,0,1,0,0,6,0,0,0,1,0,0
FAM150B,0,4,1,2,36,0,2,5,3,10,4,53,1,18,10,6,1,1,2,3
FAM151A,3,60,1,15,21,9,3,4,13,23,19,7,24,14,8,15,14,13,20,17
FAM151B,1,28,1,211,264,173,172,245,211,94,70,127,80,293,50,144,110,36,36,43
FAM153A,0,3,0,38,3,10,2,7,7,0,1,0,3,5,37,2,0,1,0,3
FAM153B,1,2,0,16,1,6,1,2,1,1,1,0,4,0,7,2,0,0,0,0
FAM153C,0,2,0,13,5,2,0,0,2,0,1,0,0,3,14,2,1,0,2,0
FAM154A,0,3,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1
FAM154B,8,138,1,13,12,30,8,7,70,12,7,4,4,0,41,9,16,1,66,16
FAM155A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM155B,0,0,0,7,2,0,1,0,2,3,1,0,5,5,169,2,6,1,0,0
FAM156A,3,20,0,26,14,24,23,29,12,12,12,8,28,9,27,21,75,14,11,13
FAM156B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM157A,0,5,0,14,700,32,41,126,82,29,26,16,59,80,83,21,794,8,18,8
FAM157B,1,4,0,0,279,33,37,259,82,21,21,45,23,23,21,50,325,3,6,9
FAM159A,2,5,4,41,37,7,57,17,13,16,14,62,37,77,12,8,354,3,4,6
FAM159B,0,2,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
FAM160A1,0,1,1,2,7,3,14,9,0,2,0,4,1,307,5,0,5,0,0,0
FAM160A2,555,2299,234,3681,3864,3190,1855,4672,3220,3086,1661,2224,2515,2192,2490,3594,10101,2925,1333,1990
FAM160B1,33,2021,28,2112,2106,2106,2496,1951,1335,2062,1335,1223,1916,1969,3141,1379,323,1365,1388,1603
FAM160B2,831,6186,497,4554,889,2582,2190,1180,1823,1666,1426,1392,2932,1959,3028,1409,4558,2280,1478,1622
FAM161A,17,157,14,69,162,236,94,67,159,316,183,130,129,30,227,453,39,53,231,239
FAM161B,0,64,2,60,185,414,172,126,243,411,133,164,389,153,512,346,216,368,222,230
FAM162A,21,675,14,632,535,594,260,350,515,1033,734,554,544,319,535,1086,281,307,802,846
FAM162B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM163A,0,0,0,2,1,0,0,1,6,0,0,3,0,49,0,1,0,0,0,0
FAM163B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM166A,0,17,1,8,16,5,8,7,3,1,3,6,10,0,18,5,16,2,3,4
FAM166B,3,22,2,23,3,14,5,8,14,18,6,5,131,6,5,4,110,36,11,35
FAM167A,0,0,0,29,6,33,42,4,5,26,7,31,46,9,99,14,15,271,17,14
FAM167B,3,22,9,13,1,9,19,2,7,25,4,12,1,0,15,1,5,3,1,2
FAM168A,15,450,5,415,569,1056,897,996,707,864,277,690,753,725,1425,662,1146,484,590,577
FAM168B,78,3376,38,3801,3287,6003,5199,4003,3422,6019,4603,3664,5235,4592,5291,4598,7082,2906,3844,3994
FAM169A,13,318,22,331,128,44,153,25,39,660,39,254,67,78,1373,98,5,33,32,34
FAM169B,0,0,0,0,0,0,0,5,0,0,0,0,0,6,5,3,0,0,0,0
FAM170A,0,0,0,1,0,3,0,0,1,4,1,0,2,1,0,1,0,0,0,4
FAM170B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4
FAM170B.AS1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
FAM171A1,1,8,1,45,18,6,2836,8,17,9,0,22,14,50,1395,2,24,1,2,3
FAM171A2,5,34,1,74,52,97,196,24,31,156,4,221,61,9,1573,25,783,51,79,43
FAM171B,1,1,0,27,41,109,333,5,8,120,5,146,24,215,537,8,37,5,3,42
FAM172A,16,571,7,619,882,1512,948,770,960,1318,834,616,1339,908,1438,1169,529,766,1067,776
FAM172BP,0,1,0,0,2,0,1,0,1,0,0,1,3,2,0,1,0,0,0,0
FAM173A,60,1051,30,943,258,370,611,260,524,1086,440,267,701,205,243,589,1650,636,557,567
FAM173B,32,358,9,363,302,566,265,355,605,436,423,245,544,434,268,588,103,230,509,373
FAM174A,5,151,1,207,153,203,296,148,310,309,186,130,283,217,204,249,453,192,179,122
FAM174B,4,6,5,5,62,151,9,22,92,19,115,14,146,24,325,39,98,1,32,241
FAM175A,8,578,5,437,446,954,988,453,637,1573,935,515,865,744,1052,862,350,660,576,951
FAM175B,50,1122,33,1165,446,1144,1007,469,943,1493,796,738,909,735,1222,1273,226,849,988,734
FAM177A1,16,617,7,501,1058,704,541,567,621,881,303,661,839,595,720,621,1124,572,470,462
FAM177B,0,4,5,7,8,7,4,10,7,7,4,4,34,1,2,3,1,2,4,1
FAM178A,96,2668,72,2294,1452,2697,2336,1748,1968,2210,2198,1152,1781,2207,1906,2832,491,1651,1699,1088
FAM178B,0,8,0,15,286,0,0,4,14,29,8,615,2,0,13,0,9,1,5,6
FAM179A,36,99,41,106,59,151,70,123,109,165,49,73,215,100,52,77,95,81,104,150
FAM179B,54,627,16,754,384,1384,762,418,789,1057,659,334,1181,457,1578,1464,273,1349,897,774
FAM180A,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM180B,1,134,6,184,17,37,13,10,6,64,18,1,22,3,80,41,18,80,74,28
FAM181A,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
FAM181A.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
