gene,11-00466,11-00473,11-00476,11-00478,11-00499,11-00503,12-00016,12-00032,12-00035,12-00069,12-00071,12-00085,12-00109,12-00111,12-00116,12-00123,12-00125,12-00127,12-00145,12-00154
ADRB2,114,340,66,885,172,2531,300,398,1909,574,396,291,942,329,58,2749,971,3938,758,587
ADRB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADRBK1,4462,33953,3800,41845,22473,25279,30940,31507,28121,39525,25874,16832,21004,23468,24318,26996,118746,13350,15223,10717
ADRBK2,117,2072,47,2982,1881,4386,3853,4622,3878,3558,2882,1995,2283,4998,3383,3773,1105,886,1236,452
ADRM1,302,2581,242,2328,1781,1924,2699,1619,2677,3313,3650,1653,2242,1768,1776,3478,7178,1575,1897,3147
ADSL,279,3238,164,2461,1735,2181,1954,1529,1846,5183,2903,1921,3004,1568,2441,3452,2756,1833,2683,4092
ADSS,66,2881,40,3020,3567,2906,3538,3367,2401,4703,2545,3162,3432,3859,2024,3408,2369,2439,2969,2019
ADSSL1,2,26,1,108,115,115,53,50,124,137,40,36,96,412,191,75,423,20,36,68
ADTRP,0,19,0,120,7,18,25,8,19,5,6,9,56,4,17,11,1,4,0,18
AEBP1,309,2154,183,1081,821,198,1415,149,513,1771,163,437,1310,69,1591,1446,10264,1647,326,2181
AEBP2,33,1145,26,1080,761,1276,1184,649,1194,1221,991,1091,1309,764,25,1561,487,1289,904,792
AEN,69,727,20,613,546,549,846,384,1156,1408,1056,1096,986,888,401,1497,1091,755,956,972
AES,374,12637,280,9993,4643,11130,16885,6391,8553,16743,4499,10173,13761,9227,17896,9825,18692,12175,9516,14354
AFAP1,4,2,0,23,96,125,15,24,171,48,38,181,153,14,11,3,19,4,8,10
AFAP1.AS1,2,0,0,1,13,7,0,11,46,2,108,11,3,2,20,2,22,0,3,8
AFAP1L1,0,2,0,33,31,17,120,0,0,22,1,34,6,4,105,5,804,2,3,275
AFAP1L2,9,94,7,99,35,108,29,14,44,175,21,422,115,7,922,97,313,60,68,38
AFF1,157,6612,82,4652,5777,7516,12760,4756,7933,9032,7176,5088,9158,5177,10048,12177,4548,6291,5425,8479
AFF2,6,6,1,254,2322,221,469,1980,1564,1256,3865,927,751,2435,270,1259,3351,95,240,152
AFF3,5,28,11,628,214,227,1719,231,125,1138,78,872,523,140,1368,1972,441,156,619,407
